2024-04-23-19-09-27
CompletionUsage(completion_tokens=82, prompt_tokens=372, total_tokens=454)
CompletionUsage(completion_tokens=74, prompt_tokens=368, total_tokens=442)
CompletionUsage(completion_tokens=88, prompt_tokens=368, total_tokens=456)
CompletionUsage(completion_tokens=151, prompt_tokens=386, total_tokens=537)
CompletionUsage(completion_tokens=133, prompt_tokens=408, total_tokens=541)
CompletionUsage(completion_tokens=138, prompt_tokens=405, total_tokens=543)
CompletionUsage(completion_tokens=256, prompt_tokens=318, total_tokens=574)
CompletionUsage(completion_tokens=107, prompt_tokens=764, total_tokens=871)
CompletionUsage(completion_tokens=112, prompt_tokens=363, total_tokens=475)
CompletionUsage(completion_tokens=63, prompt_tokens=359, total_tokens=422)
CompletionUsage(completion_tokens=59, prompt_tokens=359, total_tokens=418)
CompletionUsage(completion_tokens=51, prompt_tokens=377, total_tokens=428)
CompletionUsage(completion_tokens=80, prompt_tokens=399, total_tokens=479)
CompletionUsage(completion_tokens=108, prompt_tokens=396, total_tokens=504)
CompletionUsage(completion_tokens=255, prompt_tokens=309, total_tokens=564)
CompletionUsage(completion_tokens=76, prompt_tokens=755, total_tokens=831)
CompletionUsage(completion_tokens=110, prompt_tokens=364, total_tokens=474)
CompletionUsage(completion_tokens=85, prompt_tokens=360, total_tokens=445)
CompletionUsage(completion_tokens=73, prompt_tokens=360, total_tokens=433)
CompletionUsage(completion_tokens=105, prompt_tokens=378, total_tokens=483)
CompletionUsage(completion_tokens=132, prompt_tokens=400, total_tokens=532)
CompletionUsage(completion_tokens=151, prompt_tokens=397, total_tokens=548)
CompletionUsage(completion_tokens=219, prompt_tokens=310, total_tokens=529)
CompletionUsage(completion_tokens=5, prompt_tokens=756, total_tokens=761)
CompletionUsage(completion_tokens=74, prompt_tokens=416, total_tokens=490)
CompletionUsage(completion_tokens=86, prompt_tokens=421, total_tokens=507)
CompletionUsage(completion_tokens=92, prompt_tokens=416, total_tokens=508)
CompletionUsage(completion_tokens=97, prompt_tokens=416, total_tokens=513)
CompletionUsage(completion_tokens=97, prompt_tokens=416, total_tokens=513)
CompletionUsage(completion_tokens=92, prompt_tokens=416, total_tokens=508)
CompletionUsage(completion_tokens=92, prompt_tokens=416, total_tokens=508)
CompletionUsage(completion_tokens=97, prompt_tokens=416, total_tokens=513)
CompletionUsage(completion_tokens=92, prompt_tokens=416, total_tokens=508)
CompletionUsage(completion_tokens=97, prompt_tokens=416, total_tokens=513)
CompletionUsage(completion_tokens=58, prompt_tokens=763, total_tokens=821)
CompletionUsage(completion_tokens=69, prompt_tokens=407, total_tokens=476)
CompletionUsage(completion_tokens=73, prompt_tokens=412, total_tokens=485)
CompletionUsage(completion_tokens=99, prompt_tokens=407, total_tokens=506)
CompletionUsage(completion_tokens=78, prompt_tokens=407, total_tokens=485)
CompletionUsage(completion_tokens=78, prompt_tokens=407, total_tokens=485)
CompletionUsage(completion_tokens=78, prompt_tokens=407, total_tokens=485)
CompletionUsage(completion_tokens=78, prompt_tokens=407, total_tokens=485)
CompletionUsage(completion_tokens=99, prompt_tokens=407, total_tokens=506)
CompletionUsage(completion_tokens=99, prompt_tokens=407, total_tokens=506)
CompletionUsage(completion_tokens=78, prompt_tokens=407, total_tokens=485)
CompletionUsage(completion_tokens=68, prompt_tokens=754, total_tokens=822)
CompletionUsage(completion_tokens=66, prompt_tokens=408, total_tokens=474)
CompletionUsage(completion_tokens=118, prompt_tokens=413, total_tokens=531)
CompletionUsage(completion_tokens=130, prompt_tokens=408, total_tokens=538)
CompletionUsage(completion_tokens=130, prompt_tokens=408, total_tokens=538)
CompletionUsage(completion_tokens=131, prompt_tokens=408, total_tokens=539)
CompletionUsage(completion_tokens=130, prompt_tokens=408, total_tokens=538)
CompletionUsage(completion_tokens=121, prompt_tokens=408, total_tokens=529)
CompletionUsage(completion_tokens=131, prompt_tokens=408, total_tokens=539)
CompletionUsage(completion_tokens=131, prompt_tokens=408, total_tokens=539)
CompletionUsage(completion_tokens=130, prompt_tokens=408, total_tokens=538)
CompletionUsage(completion_tokens=81, prompt_tokens=755, total_tokens=836)
CompletionUsage(completion_tokens=74, prompt_tokens=337, total_tokens=411)
CompletionUsage(completion_tokens=94, prompt_tokens=328, total_tokens=422)
CompletionUsage(completion_tokens=105, prompt_tokens=337, total_tokens=442)
CompletionUsage(completion_tokens=112, prompt_tokens=347, total_tokens=459)
CompletionUsage(completion_tokens=94, prompt_tokens=331, total_tokens=425)
CompletionUsage(completion_tokens=114, prompt_tokens=319, total_tokens=433)
CompletionUsage(completion_tokens=144, prompt_tokens=290, total_tokens=434)
CompletionUsage(completion_tokens=79, prompt_tokens=597, total_tokens=676)
CompletionUsage(completion_tokens=61, prompt_tokens=328, total_tokens=389)
CompletionUsage(completion_tokens=59, prompt_tokens=319, total_tokens=378)
CompletionUsage(completion_tokens=77, prompt_tokens=328, total_tokens=405)
CompletionUsage(completion_tokens=81, prompt_tokens=338, total_tokens=419)
CompletionUsage(completion_tokens=81, prompt_tokens=322, total_tokens=403)
CompletionUsage(completion_tokens=56, prompt_tokens=310, total_tokens=366)
CompletionUsage(completion_tokens=234, prompt_tokens=281, total_tokens=515)
CompletionUsage(completion_tokens=81, prompt_tokens=588, total_tokens=669)
CompletionUsage(completion_tokens=108, prompt_tokens=329, total_tokens=437)
CompletionUsage(completion_tokens=97, prompt_tokens=320, total_tokens=417)
CompletionUsage(completion_tokens=83, prompt_tokens=329, total_tokens=412)
CompletionUsage(completion_tokens=104, prompt_tokens=339, total_tokens=443)
CompletionUsage(completion_tokens=96, prompt_tokens=323, total_tokens=419)
CompletionUsage(completion_tokens=100, prompt_tokens=311, total_tokens=411)
CompletionUsage(completion_tokens=192, prompt_tokens=282, total_tokens=474)
CompletionUsage(completion_tokens=5, prompt_tokens=589, total_tokens=594)
CompletionUsage(completion_tokens=97, prompt_tokens=383, total_tokens=480)
CompletionUsage(completion_tokens=129, prompt_tokens=370, total_tokens=499)
CompletionUsage(completion_tokens=98, prompt_tokens=375, total_tokens=473)
CompletionUsage(completion_tokens=56, prompt_tokens=376, total_tokens=432)
CompletionUsage(completion_tokens=94, prompt_tokens=395, total_tokens=489)
CompletionUsage(completion_tokens=92, prompt_tokens=352, total_tokens=444)
CompletionUsage(completion_tokens=143, prompt_tokens=346, total_tokens=489)
CompletionUsage(completion_tokens=154, prompt_tokens=325, total_tokens=479)
CompletionUsage(completion_tokens=105, prompt_tokens=702, total_tokens=807)
