,Task Completion,Naturalness for user simulator,Naturalness for TOD system,Coherence for user simulator,Coherence for TOD system,Dialogue-level diversity for user simulator
0,1,4,4,3,2,2
1,0,3,4,3,3,2
2,1,4,4,3,3,2
3,1,3,3,3,2,2
4,1,5,4,4,3,3
5,1,5,4,4,3,3
6,1,5,4,4,3,3
7,0,1,1,1,1,1
8,1,4,4,3,3,2
9,1,5,4,3,2,3
10,1,5,4,3,3,3
11,1,5,4,3,2,2
12,1,4,4,3,3,2
13,1,3,3,3,2,2
14,1,4,3,3,2,1
15,1,5,4,4,3,3
16,1,3,3,2,1,1
17,1,5,4,4,3,3
18,1,4,4,3,3,2
19,1,5,4,4,3,3
20,1,5,4,4,3,3
21,1,5,4,4,3,2
22,1,4,4,3,3,2
23,1,4,4,3,3,2
24,0,2,2,2,1,1
25,1,5,5,3,3,2
26,1,4,4,3,3,1
27,1,5,4,3,3,3
28,1,4,4,3,3,2
29,1,4,4,3,3,1
30,1,5,4,3,3,2
31,1,4,3,2,2,2
32,0,3,3,3,2,2
33,1,5,4,3,3,2
34,1,5,4,3,3,2
35,0,2,2,2,1,1
36,1,4,4,3,3,2
37,0,5,2,2,1,1
38,1,4,4,3,3,3
39,1,4,4,2,2,2
40,1,4,4,3,3,2
41,1,5,4,3,3,2
42,1,4,4,3,3,2
43,1,4,4,3,3,2
44,1,5,4,3,3,2
45,1,5,4,3,3,2
46,1,5,4,4,3,3
47,1,4,4,2,2,2
48,1,4,4,3,2,2
49,0,3,3,3,2,2
0,1,5,4,3,3,2
1,1,4,4,3,3,2
2,1,4,4,3,3,2
3,1,3,3,3,2,1
4,1,5,4,4,3,3
5,1,5,4,3,3,2
6,1,5,4,4,3,3
7,0,3,3,2,1,1
8,0,4,4,3,2,1
9,1,4,4,3,3,2
10,1,5,4,3,3,2
11,1,5,4,3,3,2
12,1,4,4,3,3,2
13,1,5,4,3,2,2
14,1,5,4,4,3,2
15,1,5,4,4,3,3
16,1,5,4,3,2,2
17,1,4,4,2,2,2
18,0,1,1,1,1,1
19,1,4,4,3,3,2
20,1,5,4,4,3,3
21,0,2,2,1,1,3
22,1,5,4,3,3,2
23,1,5,4,3,3,2
24,0,2,2,1,1,1
25,1,5,4,3,3,2
26,1,5,4,4,3,3
27,1,5,4,4,3,3
28,0,3,4,2,2,1
29,1,5,4,4,3,2
30,1,4,4,2,2,2
31,1,5,4,3,3,2
32,1,5,4,4,3,3
33,0,5,4,3,2,1
34,1,4,4,3,3,2
35,1,5,4,4,3,2
36,1,4,4,3,3,2
37,1,4,4,3,2,2
38,0,4,3,2,2,2
39,1,5,4,3,2,2
40,1,5,4,4,3,3
41,1,4,4,3,3,2
42,0,1,1,1,1,1
43,1,5,4,3,3,2
44,1,5,4,4,3,2
45,1,4,4,3,3,2
46,1,5,4,3,3,2
47,1,4,4,3,2,2
48,0,4,4,3,2,3
49,0,4,4,3,3,2
0,1,4,4,3,3,2
1,0,1,1,1,1,1
2,1,5,4,3,3,2
3,1,5,4,4,3,2
4,1,4,4,3,2,2
5,1,5,4,3,2,3
6,1,5,4,4,3,3
7,1,5,4,4,3,2
8,1,4,4,3,3,1
9,1,5,4,3,2,3
10,1,5,4,4,3,3
11,1,4,4,3,2,2
12,1,5,4,3,3,2
13,1,5,4,4,3,3
14,0,3,3,3,2,2
15,1,5,5,3,3,2
16,1,5,4,4,3,3
17,1,5,4,4,3,3
18,1,4,4,3,3,2
19,1,4,4,3,2,2
20,0,3,3,3,2,1
21,1,5,4,4,3,3
22,1,4,4,3,3,2
23,1,5,4,3,3,2
24,1,5,4,4,3,3
25,1,4,4,3,3,2
26,1,5,4,3,3,2
27,1,4,4,3,3,2
28,1,4,4,3,3,2
29,1,3,3,3,2,2
30,1,4,4,3,2,2
31,1,5,5,3,3,2
32,1,5,4,4,3,3
33,1,5,4,3,2,3
34,1,5,4,3,3,2
35,1,5,4,3,3,3
36,1,5,4,3,2,2
37,0,2,2,1,1,1
38,0,3,4,3,2,2
39,1,5,4,3,2,2
40,1,5,4,3,3,3
41,1,5,5,3,3,2
42,1,4,4,3,3,2
43,1,5,4,3,3,3
44,1,4,4,3,3,2
45,1,5,4,3,2,2
46,1,5,4,3,3,3
47,1,5,4,4,3,3
48,0,3,3,3,2,1
49,1,4,4,3,2,2
