CompletionUsage(completion_tokens=16, prompt_tokens=801, total_tokens=817)
CompletionUsage(completion_tokens=21, prompt_tokens=866, total_tokens=887)
CompletionUsage(completion_tokens=9, prompt_tokens=927, total_tokens=936)
CompletionUsage(completion_tokens=6, prompt_tokens=975, total_tokens=981)
CompletionUsage(completion_tokens=10, prompt_tokens=897, total_tokens=907)
CompletionUsage(completion_tokens=19, prompt_tokens=974, total_tokens=993)
CompletionUsage(completion_tokens=24, prompt_tokens=1050, total_tokens=1074)
CompletionUsage(completion_tokens=17, prompt_tokens=1131, total_tokens=1148)
CompletionUsage(completion_tokens=9, prompt_tokens=1218, total_tokens=1227)
CompletionUsage(completion_tokens=11, prompt_tokens=1297, total_tokens=1308)
CompletionUsage(completion_tokens=6, prompt_tokens=1356, total_tokens=1362)
CompletionUsage(completion_tokens=20, prompt_tokens=804, total_tokens=824)
CompletionUsage(completion_tokens=19, prompt_tokens=886, total_tokens=905)
CompletionUsage(completion_tokens=15, prompt_tokens=965, total_tokens=980)
CompletionUsage(completion_tokens=13, prompt_tokens=1046, total_tokens=1059)
CompletionUsage(completion_tokens=6, prompt_tokens=1098, total_tokens=1104)
CompletionUsage(completion_tokens=12, prompt_tokens=743, total_tokens=755)
CompletionUsage(completion_tokens=14, prompt_tokens=801, total_tokens=815)
CompletionUsage(completion_tokens=9, prompt_tokens=843, total_tokens=852)
CompletionUsage(completion_tokens=12, prompt_tokens=896, total_tokens=908)
CompletionUsage(completion_tokens=6, prompt_tokens=972, total_tokens=978)
CompletionUsage(completion_tokens=11, prompt_tokens=948, total_tokens=959)
CompletionUsage(completion_tokens=25, prompt_tokens=985, total_tokens=1010)
CompletionUsage(completion_tokens=12, prompt_tokens=1050, total_tokens=1062)
CompletionUsage(completion_tokens=30, prompt_tokens=1092, total_tokens=1122)
CompletionUsage(completion_tokens=22, prompt_tokens=1212, total_tokens=1234)
CompletionUsage(completion_tokens=30, prompt_tokens=1369, total_tokens=1399)
CompletionUsage(completion_tokens=9, prompt_tokens=1535, total_tokens=1544)
CompletionUsage(completion_tokens=6, prompt_tokens=1681, total_tokens=1687)
